,Unnamed: 0,Unnamed: 0.1,X,address,city_or_county,date,incident_url,latitude,longitude,n_injured,n_killed
143,143,144,2647,Highway 59 ,Bay Minette ,2014-09-16,http://www.gunviolencearchive.org/incident/192752,30.8787655,-87.7838226,0,0
144,144,145,2710,Highway 98,Magnolia Springs,2014-09-16,http://www.gunviolencearchive.org/incident/192757,30.4065526,-87.77616189999999,0,0
145,145,146,2831,Main Avenue and Alabama 21,Sylacauga,2014-09-17,http://www.gunviolencearchive.org/incident/195350,33.1835434,-86.247301,0,0
146,146,147,2871,2700 block of 35th Avenue North,Birmingham,2014-09-17,http://www.gunviolencearchive.org/incident/192576,33.5571329,-86.81860189999999,3,0
147,147,148,2937,6800 block of Division Avenue ,Birmingham,2014-09-18,http://www.gunviolencearchive.org/incident/195343,33.5511568,-86.73742469999999,2,0
148,148,149,2945,3400 block of Margaret Ann Drive,Montgomery,2014-09-18,http://www.gunviolencearchive.org/incident/196304,32.359361,-86.36841,0,1
149,149,150,3087,1800 block of Green Street,Selma,2014-09-19,http://www.gunviolencearchive.org/incident/196308,32.4243796,-87.0183909,0,0
150,150,151,3112,1500 14th Street,Phenix City,2014-09-19,http://www.gunviolencearchive.org/incident/194789,32.4732522,-85.03831339999999,0,1
151,151,152,3177,1000 block of Monk Street,Valley,2014-09-19,http://www.gunviolencearchive.org/incident/195221,32.7953575,-85.1602578,1,0
152,152,153,3187,Cedar Avenue Southwest,Birmingham,2014-09-19,http://www.gunviolencearchive.org/incident/195309,33.4575676,-86.8828509,0,0
153,153,154,3208,500 block of 4th Terrace North ,Birmingham,2014-09-19,http://www.gunviolencearchive.org/incident/195320,33.528215,-86.7808829,0,1
154,154,155,3419,2400 block of Sandy Street,Montgomery,2014-09-21,http://www.gunviolencearchive.org/incident/195293,32.3524282,-86.3365477,0,1
155,155,156,3499,,Tallapoosa County,2014-09-21,http://www.gunviolencearchive.org/incident/202621,32.9416106,-85.9323261,0,0
156,156,157,3689, Joe Campbell Road and Stewart Lane,Talladega County,2014-09-22,http://www.gunviolencearchive.org/incident/196279,,,0,0
157,157,158,3710,920 East Academy Street,Troy,2014-09-22,http://www.gunviolencearchive.org/incident/196323,31.80963349999999,-85.9580652,0,0
158,158,159,3756,4601 Inglenook Lane,Birmingham,2014-09-23,http://www.gunviolencearchive.org/incident/195207,33.5676261,-86.76635820000001,0,3
159,159,160,3831,4000 Grand Ave.,Hoover,2014-09-23,http://www.gunviolencearchive.org/incident/195299,33.392303,-86.88493419999999,0,1
160,160,161,3900,3800 block of Sparkman Drive ,Huntsville,2014-09-24,http://www.gunviolencearchive.org/incident/196296,34.7604774,-86.6197115,0,0
161,161,162,3942,JVC Road ,Tuscaloosa,2014-09-24,http://www.gunviolencearchive.org/incident/196282,33.1731743,-87.4591756,1,0
162,162,163,3950,500 block of 34th Avenue,Tuscaloosa,2014-09-24,http://www.gunviolencearchive.org/incident/195965,33.2070704,-87.58016339999999,1,0
163,163,164,4055,102 S Prairie St,Union Springs,2014-09-25,http://www.gunviolencearchive.org/incident/199455,32.1436078,-85.716129,1,0
164,164,165,4109,,Gulf Shores,2014-09-25,http://www.gunviolencearchive.org/incident/196326,30.2530593,-87.6894392,0,0
165,165,166,4113,3100 block of Gayhart Drive ,Huntsville,2014-09-25,http://www.gunviolencearchive.org/incident/196288,34.7651399,-86.6345944,0,0
166,166,167,4213,County Road 29,Marion Junction,2014-09-26,http://www.gunviolencearchive.org/incident/199447,32.4380364,-87.2365519,1,0
167,167,168,4243,100 block of NE Helms Road ,Morgan County,2014-09-26,http://www.gunviolencearchive.org/incident/199436,34.4727477,-86.73331879999999,0,0
168,168,169,4247,6th Avenue ,Decatur,2014-09-26,http://www.gunviolencearchive.org/incident/199419,34.6090921,-86.97770950000002,1,0
169,169,170,4261,1900 block of Gibbs Drive,Montgomery,2014-09-26,http://www.gunviolencearchive.org/incident/197213,32.3566527,-86.3368299,2,0
170,170,171,4344,2700 block of 18th Street,Tuscaloosa,2014-09-26,http://www.gunviolencearchive.org/incident/197195,33.196974,-87.569705,1,0
171,171,172,4351,Tuttle Avenue,Mobile,2014-09-26,http://www.gunviolencearchive.org/incident/199449,30.675396,-88.07279,1,0
172,172,173,4432,Springhill Road,Midway,2014-09-27,http://www.gunviolencearchive.org/incident/202530,32.0637229,-85.30578349999999,0,1
173,173,174,4546,3900 block of Newson Road,Huntsville,2014-09-27,http://www.gunviolencearchive.org/incident/199425,34.6962652,-86.62114389999999,0,0
174,174,175,4564,1500 block of Jackson Ferry Road,Montgomery,2014-09-28,http://www.gunviolencearchive.org/incident/199457,32.4034327,-86.3078687,1,0
175,175,176,4660,1700 block of Warrior Road,Birmingham,2014-09-28,http://www.gunviolencearchive.org/incident/199404,33.4939436,-86.8869572,1,0
176,176,177,4954,17th Street S.W.,Birmingham,2014-09-30,http://www.gunviolencearchive.org/incident/199479,33.477058,-86.8583769,0,0
177,177,178,5000,US Highway 43 ,Russellville,2014-09-30,http://www.gunviolencearchive.org/incident/199410,34.5086178,-87.7173469,0,0
178,178,179,11,2700 block of Scenic View Drive,Huntsville,2014-08-01,http://www.gunviolencearchive.org/incident/169341,34.7623806,-86.61971129999999,0,0
179,179,180,127, Governors Drive and Braham Avenue,Huntsville,2014-08-01,http://www.gunviolencearchive.org/incident/169344,34.7204913,-86.6021492,0,0
180,180,181,148,Irondale Drive,Huntsville,2014-08-01,http://www.gunviolencearchive.org/incident/169348,34.7802272,-86.6116283,0,0
181,181,182,155,1000 Glenn Hearn Blvd SW,Huntsville,2014-08-01,http://www.gunviolencearchive.org/incident/191397,34.6482049,-86.774574,0,0
182,182,183,194,Hwy. 231 and Deese Road,Ozark,2014-08-01,http://www.gunviolencearchive.org/incident/170404,31.4397481,-85.6435582,0,0
183,183,184,209,,Birmingham,2014-08-02,http://www.gunviolencearchive.org/incident/177740,33.4976077,-86.7934317,0,1
184,184,185,215,Mister Drive,Montgomery,2014-08-02,http://www.gunviolencearchive.org/incident/169337,32.40267,-86.176211,0,1
185,185,186,245,7800 block of 6th Avenue South ,Birmingham,2014-08-02,http://www.gunviolencearchive.org/incident/169355,33.5599208,-86.71999,1,0
186,186,187,296,5100 block of Cherry St,Mulga,2014-08-02,http://www.gunviolencearchive.org/incident/169352,33.5434325,-87.0072916,0,1
187,187,188,300,1800 Lakewood Dr,Phenix City,2014-08-02,http://www.gunviolencearchive.org/incident/168121,32.5033,-85.022,1,1
188,188,189,301,5100 block of Cherry Street,Mulga,2014-08-02,http://www.gunviolencearchive.org/incident/176857,33.5434325,-87.0072916,0,1
189,189,190,367,2800 block of Lower Wetumpka Road,Montgomery,2014-08-02,http://www.gunviolencearchive.org/incident/170406,32.4139867,-86.28572249999999,1,0
190,190,191,445,Sparkman Drive,Huntsville,2014-08-03,http://www.gunviolencearchive.org/incident/169349,34.7359433,-86.6438822,0,0
191,191,192,529,,Tuskegee,2014-08-03,http://www.gunviolencearchive.org/incident/174517,32.43901,-85.673137,0,0
192,192,193,602,East St,Talladega,2014-08-04,http://www.gunviolencearchive.org/incident/176266,33.4408372,-86.1036187,1,0
