,Unnamed: 0,X,address,city_or_county,date,incident_url,latitude,longitude,n_injured,n_killed
5255,5256,3119,1712 Broad St,Selma,2014-04-25,http://www.gunviolencearchive.org/incident/134992,,,1,0
5256,5257,3197,5000 block of Blue Spring Road,Huntsville,2014-04-25,http://www.gunviolencearchive.org/incident/130131,,,0,0
5257,5258,3223,Cherry Hill Road,Montgomery,2014-04-25,http://www.gunviolencearchive.org/incident/130141,,,1,0
5258,5259,3246,Wethersfield Drive ,Madison,2014-04-25,http://www.gunviolencearchive.org/incident/130134,,,1,0
5259,5260,3351,1900 block of Jones Avenue,Mobile,2014-04-26,http://www.gunviolencearchive.org/incident/130139,,,2,1
5260,5261,3370,810 14th Ave N,Bessemer,2014-04-26,http://www.gunviolencearchive.org/incident/129951,,,0,1
5261,5262,3439,Houston Street,Mobile,2014-04-27,http://www.gunviolencearchive.org/incident/130158,,,0,1
5262,5263,3453,600 block of Jefferson Avenue ,Tuscaloosa,2014-04-27,http://www.gunviolencearchive.org/incident/130213,,,0,0
5263,5264,3457,5600 block of Aster Avenue ,Birmingham,2014-04-27,http://www.gunviolencearchive.org/incident/130207,,,0,1
5264,5265,3529,1300 block of 57th Place Ensley,Birmingham,2014-04-27,http://www.gunviolencearchive.org/incident/130218,,,0,2
5265,5266,3536,Fourth Avenue West,Birmingham,2014-04-28,http://www.gunviolencearchive.org/incident/130160,,,0,1
5266,5267,3560,2200 48th Street,Tuscaloosa,2014-04-28,http://www.gunviolencearchive.org/incident/131954,,,0,1
5267,5268,3585,4100 Newson Road,Huntsville,2014-04-28,http://www.gunviolencearchive.org/incident/130154,,,1,0
5268,5269,3657,3800 Pleasant Valley Rd.,Mobile,2014-04-29,http://www.gunviolencearchive.org/incident/131048,,,0,0
5269,5270,3661,1500 block of Sparkman Drive,Huntsville,2014-04-29,http://www.gunviolencearchive.org/incident/131039,,,1,0
5270,5271,3765,7201 Aaron Aronov Dr,Fairfield,2014-04-29,http://www.gunviolencearchive.org/incident/131056,,,1,0
5271,5272,3822,North Edgemont Circle,Huntsville,2014-04-30,http://www.gunviolencearchive.org/incident/131046,,,0,0
5272,5273,3826,2100 block of Forrest Street,Selma,2014-04-30,http://www.gunviolencearchive.org/incident/131034,,,2,0
5273,5274,3843,1000 block of 16th Street Southwest ,Birmingham,2014-04-30,http://www.gunviolencearchive.org/incident/131053,,,2,0
5274,5275,3848,1961 Andrews Street,Mobile,2014-04-30,http://www.gunviolencearchive.org/incident/131050,,,0,0
5275,5276,3861,2nd Street West,Birmingham,2014-04-30,http://www.gunviolencearchive.org/incident/131059,,,2,0
5276,5277,62,1200 Ave A,Tuscumbia,2016-03-01,http://www.gunviolencearchive.org/incident/516146,34.7188,-87.696,1,1
5277,5278,125,300 block of East 38th Place,Tuscaloosa (county),2016-03-01,http://www.gunviolencearchive.org/incident/516128,33.1727,-87.5323,1,0
5278,5279,127,400 block of Westwood Street,Mobile,2016-03-01,http://www.gunviolencearchive.org/incident/516155,30.6739,-88.0939,1,0
5279,5280,315,Aberdeen Road,Dothan,2016-03-03,http://www.gunviolencearchive.org/incident/517760,31.1967,-85.3802,0,1
5280,5281,317,County Road 116,Jackson (county),2016-03-03,http://www.gunviolencearchive.org/incident/516134,34.7691,-85.8728,1,0
5281,5282,318,100 block of Jones Street,Prattville,2016-03-03,http://www.gunviolencearchive.org/incident/516141,32.4863,-86.4702,0,1
5282,5283,400,800 Airport Dr.,Midland City,2016-03-03,http://www.gunviolencearchive.org/incident/595729,31.3149,-85.4487,0,0
5283,5284,673,Marie Foster Street and Selma Avenue,Selma,2016-03-05,http://www.gunviolencearchive.org/incident/518941,32.4122,-87.0129,0,2
5284,5285,712,100 block of Destin Street,Montgomery,2016-03-05,http://www.gunviolencearchive.org/incident/517763,32.415,-86.2874,1,0
5285,5286,713,Florida Avenue,Dothan,2016-03-05,http://www.gunviolencearchive.org/incident/517770,31.2377,-85.3839,0,1
5286,5287,792,8100 block of 6th Avenue South,Birmingham,2016-03-06,http://www.gunviolencearchive.org/incident/517733,33.5639,-86.7164,0,1
5287,5288,793,1700 block of 26th Avenue North,Birmingham,2016-03-06,http://www.gunviolencearchive.org/incident/517736,33.5443,-86.8294,0,1
5288,5289,794,2300 block of 7th Place Northwest,Birmingham,2016-03-06,http://www.gunviolencearchive.org/incident/517741,33.6479,-86.7065,0,1
5289,5290,795,Wilhite Road,Falkville,2016-03-06,http://www.gunviolencearchive.org/incident/517743,34.3156,-86.8628,1,0
5290,5291,902,2500 Meridian St N.,Huntsville,2016-03-07,http://www.gunviolencearchive.org/incident/517757,34.7564,-86.5787,0,0
5291,5292,976,4400 block of Ninth Avenue North,Birmingham,2016-03-07,http://www.gunviolencearchive.org/incident/518958,33.5398,-86.7722,1,0
5292,5293,1006,2605 Citizens Pkwy,Selma,2016-03-07,http://www.gunviolencearchive.org/incident/518947,,,1,0
5293,5294,1021,2200 block of Brewton Street,Montgomery,2016-03-07,http://www.gunviolencearchive.org/incident/518945,32.3778,-86.2766,1,0
5294,5295,1022,100 block of Haversham Drive,Jefferson (county),2016-03-07,http://www.gunviolencearchive.org/incident/518955,33.6659,-86.6873,0,0
5295,5296,1071,1600 block of Gadsden Highway,Trussville,2016-03-08,http://www.gunviolencearchive.org/incident/521916,33.6023,-86.6422,0,0
5296,5297,1216,West McClean Road,Hope Hull,2016-03-08,http://www.gunviolencearchive.org/incident/518950,32.2503,-86.3838,0,1
5297,5298,1299,5900 Messer Airport Hwy.,Birmingham,2016-03-09,http://www.gunviolencearchive.org/incident/600921,33.5606,-86.7484,0,0
5298,5299,1378,2001 Glenn Boulevard SW,Fort Payne,2016-03-09,http://www.gunviolencearchive.org/incident/519680,34.4386,-85.759,1,0
5299,5300,1380,651 Azalea Rd.,Mobile,2016-03-09,http://www.gunviolencearchive.org/incident/520485,30.6563,-88.1435,1,0
5300,5301,1381,Jim's Super Pawn Shop,Birmingham (Midfield),2016-03-09,http://www.gunviolencearchive.org/incident/520487,33.5207,-86.8025,1,0
5301,5302,1382,Linda Avenue,Greenville,2016-03-09,http://www.gunviolencearchive.org/incident/520489,31.8339,-86.6187,0,1
5302,5303,1419,Brass Oaks Boulevard,Madison,2016-03-10,http://www.gunviolencearchive.org/incident/521912,34.733000000000004,-86.7528,0,0
5303,5304,1420,,Cullman (county),2016-03-10,http://www.gunviolencearchive.org/incident/521923,34.1637,-86.8071,0,0
5304,5305,1473,3079 Wetumpka Hwy.,Montgomery,2016-03-10,http://www.gunviolencearchive.org/incident/527036,32.4299,-86.2215,0,0
5305,5306,1486,5th Avenue Southwest and Allen Street,Decatur,2016-03-10,http://www.gunviolencearchive.org/incident/521931,34.5959,-86.9947,0,0
5306,5307,1496,Brett Road,Huntsville,2016-03-10,http://www.gunviolencearchive.org/incident/520478,34.7645,-86.6085,1,0
