"","X","address","city_or_county","date","incident_url","latitude","longitude","n_injured","n_killed"
"3677",2215,"","Madison (county)","2016-09-13","http://www.gunviolencearchive.org/incident/656474",34.7146,-86.7416,0,0
"3678",2306,"101 Sadie Lee Dr","Childersburg","2016-09-14","http://www.gunviolencearchive.org/incident/655359",NA,NA,2,1
"3679",2341,"2135 Centennial Dr.","Birmingham (Hoover)","2016-09-14","http://www.gunviolencearchive.org/incident/659333",33.381,-86.7946,0,0
"3680",2362,"Smyer Circle","Birmingham (Vestavia Hills)","2016-09-14","http://www.gunviolencearchive.org/incident/654930",NA,NA,0,1
"3681",2394,"Lake Haven Drive","Wilmer","2016-09-14","http://www.gunviolencearchive.org/incident/656469",30.7962,-88.305,0,1
"3682",2448,"200 block of Roosevelt Courtway","Birmingham","2016-09-15","http://www.gunviolencearchive.org/incident/655915",33.4953,-86.836,1,0
"3683",2449,"600 Earline Circle","Birmingham","2016-09-15","http://www.gunviolencearchive.org/incident/656144",33.6224,-86.6739,1,1
"3684",2455,"6200 block of Crest Green Dr.","Birmingham","2016-09-15","http://www.gunviolencearchive.org/incident/655912",33.5335,-86.7369,0,1
"3685",2470,"2400 block of Hampstead Drive","Birmingham (Grayson Valley)","2016-09-15","http://www.gunviolencearchive.org/incident/656478",33.649,-86.6374,2,0
"3686",2483,"3300 Blk of North Hwy 123","Ariton","2016-09-15","http://www.gunviolencearchive.org/incident/656797",31.5516,-85.6814,0,1
"3687",2489,"685 Lee Rd 61","Loachapoka","2016-09-15","http://www.gunviolencearchive.org/incident/656464",32.5891,-85.579,0,0
"3688",2533,"4100 block of Eli Avenue","Birmingham","2016-09-15","http://www.gunviolencearchive.org/incident/656356",33.441,-86.8959,1,0
"3689",2534,"600 block of Edmon Avenue","Opelika","2016-09-15","http://www.gunviolencearchive.org/incident/656366",32.6211,-85.3813,1,0
"3690",2556,"713 Mabry St.","Selma","2016-09-15","http://www.gunviolencearchive.org/incident/656362",32.4128,-87.0283,0,0
"3691",2620,"Dauphin Island Parkway","Mobile","2016-09-16","http://www.gunviolencearchive.org/incident/658173",30.5465,-88.0996,0,0
"3692",2621,"Arlington Road","Montgomery","2016-09-16","http://www.gunviolencearchive.org/incident/658183",32.3505,-86.3045,0,0
"3693",2634,"Kingville Drive","Detroit","2016-09-16","http://www.gunviolencearchive.org/incident/659082",NA,NA,0,1
"3694",2721,"533 Willis Turk Road","Auburn","2016-09-16","http://www.gunviolencearchive.org/incident/656985",NA,NA,1,0
"3695",2759,"2400 block of Walker Chapel Rd","Fultondale","2016-09-17","http://www.gunviolencearchive.org/incident/658867",33.6049,-86.8179,1,0
"3696",2769,"500 block of 19th St","Birmingham (Ensley)","2016-09-17","http://www.gunviolencearchive.org/incident/658066",NA,NA,0,1
"3697",2770,"8212 Bailey Cove Road","Huntsville","2016-09-17","http://www.gunviolencearchive.org/incident/657174",34.6573,-86.5397,0,1
"3698",2776,"400 block of Park Avenue","Kimberly","2016-09-17","http://www.gunviolencearchive.org/incident/659347",33.78,-86.8158,0,1
"3699",2818,"Franklin and Green Street","Selma","2016-09-17","http://www.gunviolencearchive.org/incident/657514",32.426,-87.02,1,0
"3700",2821,"Weaver Street","Selma","2016-09-17","http://www.gunviolencearchive.org/incident/657519",32.4182,-87.0081,1,0
"3701",2822,"600 block of Maryland Street","Montgomery","2016-09-17","http://www.gunviolencearchive.org/incident/657521",32.3792,-86.2782,1,0
"3702",2845,"Old Montgomery Rd","Tuskegee","2016-09-17","http://www.gunviolencearchive.org/incident/657508",32.4252,-85.6991,0,1
"3703",2846,"East Pettus Street","Demopolis","2016-09-17","http://www.gunviolencearchive.org/incident/660593",32.5086,-87.8272,0,0
"3704",2879,"1200 block of Alabama Avenue","Selma","2016-09-17","http://www.gunviolencearchive.org/incident/657511",32.4082,-87.0189,0,1
"3705",2902,"Stony Mill Lane","Fort Mitchell","2016-09-17","http://www.gunviolencearchive.org/incident/658170",32.3415,-85.0216,0,1
"3706",2903,"2nd Street Southwest","Cullman (county)","2016-09-17","http://www.gunviolencearchive.org/incident/658181",34.1749,-86.8574,1,0
"3707",2931,"100 block of Judge C. Price Street","Montgomery","2016-09-18","http://www.gunviolencearchive.org/incident/658175",32.3898,-86.3916,0,1
"3708",3029,"600 block of 5th NW St.","Arab","2016-09-18","http://www.gunviolencearchive.org/incident/659322",34.3251,-86.501,1,0
"3709",3126,"W. Valley Avenue","Birmingham (Homewood)","2016-09-19","http://www.gunviolencearchive.org/incident/659341",33.4628,-86.8401,0,0
"3710",3203,"5900 Messer Airport Hwy","Birmingham","2016-09-19","http://www.gunviolencearchive.org/incident/659361",33.5606,-86.7484,0,0
"3711",3204,"Mooresville Road","Athens","2016-09-19","http://www.gunviolencearchive.org/incident/659363",34.8283,-86.8765,0,0
"3712",3237,"","Birmingham","2016-09-20","http://www.gunviolencearchive.org/incident/872944",33.5186,-86.8084,0,0
"3713",3302,"1500 block of 31st Avenue North","Birmingham","2016-09-20","http://www.gunviolencearchive.org/incident/659688",33.5481,-86.8355,1,0
"3714",3306,"59th Street and Avenue E","Fairfield","2016-09-20","http://www.gunviolencearchive.org/incident/660670",33.4795,-86.9116,1,0
"3715",3330,"7400 block of 2nd Avenue South","Birmingham","2016-09-20","http://www.gunviolencearchive.org/incident/659359",33.5563,-86.729,1,0
"3716",3333,"King Street and Dallas Avenue","Selma","2016-09-20","http://www.gunviolencearchive.org/incident/659955",32.4059,-87.032,1,0
"3717",3354,"Providence Loop Road","Oakman","2016-09-20","http://www.gunviolencearchive.org/incident/659353",33.7289,-87.3499,0,1
"3718",3355,"64th Courtway South","Birmingham","2016-09-20","http://www.gunviolencearchive.org/incident/660668",33.5415,-86.726,1,0
"3719",3452,"100 block of Jeter Avenue","Opelika","2016-09-21","http://www.gunviolencearchive.org/incident/660664",32.6551,-85.3719,1,0
"3720",3467,"1300 block of First Avenue","Selma","2016-09-21","http://www.gunviolencearchive.org/incident/663054",32.4222,-87.0199,1,0
"3721",3517,"1750 40th Avenue","Tuscaloosa","2016-09-21","http://www.gunviolencearchive.org/incident/660558",33.1977,-87.5888,2,1
"3722",3519,"Farrington Loop","Semmes","2016-09-21","http://www.gunviolencearchive.org/incident/660569",30.7366,-88.2438,0,1
