"","X","address","city_or_county","date","incident_url","latitude","longitude","n_injured","n_killed"
"4028",1737,"4000 block of Fourth Avenue","Brighton","2015-02-16","http://www.gunviolencearchive.org/incident/294437",33.4386,-86.9482,0,1
"4029",1805,"Avenue L","Birmingham","2015-02-17","http://www.gunviolencearchive.org/incident/294440",33.4967,-86.8966,0,1
"4030",1826,"Foskett Street","Piedmont","2015-02-17","http://www.gunviolencearchive.org/incident/294837",33.9215,-85.6021,1,0
"4031",1870,"5900 Messer Airport Hwy","Birmingham","2015-02-17","http://www.gunviolencearchive.org/incident/297904",33.5606,-86.7484,0,0
"4032",1997,"Interstate 10","Daphne","2015-02-18","http://www.gunviolencearchive.org/incident/295823",30.661,-87.8716,0,1
"4033",2028,"Banks Street","Morris","2015-02-19","http://www.gunviolencearchive.org/incident/295834",33.7465,-86.8087,0,1
"4034",2078,"7800 block of Interlaken Way","Birmingham","2015-02-19","http://www.gunviolencearchive.org/incident/295832",33.5458,-86.7246,0,0
"4035",2097,"3000 block of Uvalde Lane","Huntsville","2015-02-19","http://www.gunviolencearchive.org/incident/295830",34.7674,-86.6427,1,0
"4036",2185,"7901 1st Avenue South","Birmingham","2015-02-20","http://www.gunviolencearchive.org/incident/295885",33.5636,-86.7243,0,1
"4037",2187,"Greensprings Highway","Birmingham","2015-02-20","http://www.gunviolencearchive.org/incident/295883",33.4873,-86.8228,0,1
"4038",2275,"24158 Upper Fort Hampton Road","Limestone County","2015-02-21","http://www.gunviolencearchive.org/incident/298492",34.9485,-86.8887,0,1
"4039",2280,"16000 block of China Lane","Tuscaloosa","2015-02-21","http://www.gunviolencearchive.org/incident/298511",33.1832,-87.2897,1,0
"4040",2303,"Bellmeade Dr","Mobile","2015-02-21","http://www.gunviolencearchive.org/incident/296043",30.7447,-88.1094,0,2
"4041",2378,"7400 block of 1st Avenue South","Birmingham","2015-02-22","http://www.gunviolencearchive.org/incident/298505",33.557,-86.73,1,1
"4042",2394,"5700 block of Gas Light Curve","Montgomery","2015-02-22","http://www.gunviolencearchive.org/incident/298495",32.3293,-86.2291,0,1
"4043",2404,"400 block of Gaston Street","Mobile","2015-02-22","http://www.gunviolencearchive.org/incident/296912",30.6972,-88.061,1,0
"4044",2436,"Third Avenue","Tuscaloosa","2015-02-23","http://www.gunviolencearchive.org/incident/316812",33.1809,-87.5403,0,0
"4045",2498,"Vincent Drive","Russellville","2015-02-23","http://www.gunviolencearchive.org/incident/300041",34.5226,-87.7174,0,0
"4046",2511,"Newson Road","Huntsville","2015-02-23","http://www.gunviolencearchive.org/incident/298072",34.6978,-86.6208,1,0
"4047",2512,"Broad Street","Somerville","2015-02-23","http://www.gunviolencearchive.org/incident/296683",34.4734,-86.7993,0,1
"4048",2528,"Clearview Lane","Elmore","2015-02-23","http://www.gunviolencearchive.org/incident/298498",32.5302,-86.3624,0,1
"4049",2677,"25820 U.S. 98","Elberta","2015-02-25","http://www.gunviolencearchive.org/incident/297993",30.4143,-87.5869,0,0
"4050",2741,"West Delano and Happiness avenues","Montgomery","2015-02-25","http://www.gunviolencearchive.org/incident/298481",32.3372,-86.311,1,0
"4051",2765,"7000 block of Kali Oka Road","Saraland","2015-02-26","http://www.gunviolencearchive.org/incident/299449",30.8294,-88.1386,1,0
"4052",2801,"Avenue B and Fifth Avenue","Birmingham","2015-02-26","http://www.gunviolencearchive.org/incident/300057",33.53,-86.8865,0,1
"4053",2864,"Highway 82","Union Springs","2015-02-27","http://www.gunviolencearchive.org/incident/300053",32.137,-85.7343,2,0
"4054",2955,"900 block of Washington Avenue Southwest","Birmingham","2015-02-27","http://www.gunviolencearchive.org/incident/299278",33.5008,-86.8512,2,1
"4055",40,"3400 block of Cliff Terrace","Birmingham","2017-04-01","http://www.gunviolencearchive.org/incident/809604",NA,NA,1,0
"4056",108,"800 block of Clover Hill Dr","Montgomery","2017-04-01","http://www.gunviolencearchive.org/incident/809855",NA,NA,0,1
"4057",138,"Thompson Street","Union Springs","2017-04-01","http://www.gunviolencearchive.org/incident/809857",NA,NA,1,0
"4058",157,"Beach Blvd","Gulf Shores","2017-04-01","http://www.gunviolencearchive.org/incident/810329",NA,NA,0,0
"4059",158,"1651 Knollwood Dr","Mobile","2017-04-01","http://www.gunviolencearchive.org/incident/810330",NA,NA,1,0
"4060",271,"Parmer St","Greenville","2017-04-02","http://www.gunviolencearchive.org/incident/810855",NA,NA,0,0
"4061",274,"Cecil Jackson Bypass","Selma","2017-04-02","http://www.gunviolencearchive.org/incident/812092",NA,NA,2,0
"4062",294,"800 block of Bedell Avenue","Auburn","2017-04-02","http://www.gunviolencearchive.org/incident/810325",NA,NA,0,1
"4063",298,"4100 block of Marchal Lane","Mobile","2017-04-02","http://www.gunviolencearchive.org/incident/810323",NA,NA,1,0
"4064",333,"1700 block of Lapine Dr","Mobile","2017-04-02","http://www.gunviolencearchive.org/incident/812260",NA,NA,1,0
"4065",406,"2100 block of Ave F","Birmingham (Ensley)","2017-04-03","http://www.gunviolencearchive.org/incident/810716",NA,NA,1,0
"4066",417,"3700 block of Norman Bridge Rd","Montgomery","2017-04-03","http://www.gunviolencearchive.org/incident/810540",NA,NA,1,0
"4067",490,"1400 block of Forrest Avenue","Gadsden","2017-04-03","http://www.gunviolencearchive.org/incident/811285",NA,NA,1,0
"4068",519,"600 block of Crescent Ridge Rd","Tuscaloosa","2017-04-03","http://www.gunviolencearchive.org/incident/811970",NA,NA,1,0
"4069",531,"3500 block of Sixth Street","Tuscaloosa","2017-04-03","http://www.gunviolencearchive.org/incident/812090",NA,NA,0,0
"4070",573,"CR 1759","Baileyton","2017-04-04","http://www.gunviolencearchive.org/incident/811377",NA,NA,0,1
"4071",588,"4510 Bessemer Super Hwy","Bessemer (Brighton)","2017-04-04","http://www.gunviolencearchive.org/incident/811303",NA,NA,1,0
"4072",703,"226 49th Ave E","Tuscaloosa","2017-04-04","http://www.gunviolencearchive.org/incident/812900",NA,NA,1,0
"4073",734,"13222 US-31","Athens","2017-04-04","http://www.gunviolencearchive.org/incident/817931",NA,NA,0,0
"4074",801,"300 block of 15th Court North","Birmingham","2017-04-05","http://www.gunviolencearchive.org/incident/813369",NA,NA,0,1
"4075",802,"","Mobile (Prichard)","2017-04-05","http://www.gunviolencearchive.org/incident/813371",NA,NA,0,0
"4076",830,"1700 block of Carter Hill Road","Montgomery","2017-04-05","http://www.gunviolencearchive.org/incident/812098",NA,NA,0,1
"4077",851,"1944 Pinson Valley Parkway","Birmingham (Tarrant)","2017-04-05","http://www.gunviolencearchive.org/incident/814263",NA,NA,0,0
"4078",957,"5600 block of Carmichael Road","Montgomery","2017-04-06","http://www.gunviolencearchive.org/incident/815331",NA,NA,1,0
"4079",1014,"3700 block Riviera Rd","Montgomery","2017-04-06","http://www.gunviolencearchive.org/incident/813195",NA,NA,0,1
"4080",1030,"40000 block of General Road","Mobile","2017-04-06","http://www.gunviolencearchive.org/incident/813365",NA,NA,1,0
"4081",1083,"500 block of Dunbarton Road","Montgomery","2017-04-07","http://www.gunviolencearchive.org/incident/844904",NA,NA,1,0
"4082",1115,"Broughton Road","Grand Bay","2017-04-07","http://www.gunviolencearchive.org/incident/825058",NA,NA,0,0
"4083",1193,"Rexford Road","Montgomery","2017-04-07","http://www.gunviolencearchive.org/incident/816830",NA,NA,0,0
"4084",1236,"Gardenside Drive","Huntsville","2017-04-07","http://www.gunviolencearchive.org/incident/813825",NA,NA,1,0
"4085",1237,"900 block of Bankhead Highway","Birmingham","2017-04-07","http://www.gunviolencearchive.org/incident/813830",NA,NA,1,0
"4086",1252,"1900 block of 15th Avenue","Northport","2017-04-07","http://www.gunviolencearchive.org/incident/815165",NA,NA,1,0
"4087",1258,"Old Blue Spring Road","Huntsville","2017-04-08","http://www.gunviolencearchive.org/incident/815100",NA,NA,1,0
"4088",1284,"399 Azalea Road","Mobile","2017-04-08","http://www.gunviolencearchive.org/incident/816836",NA,NA,0,0
"4089",1327,"4413 Eli Ave","Birmingham","2017-04-08","http://www.gunviolencearchive.org/incident/815093",NA,NA,0,1
"4090",1364,"Trafford Road and Highway 31","Warrior","2017-04-08","http://www.gunviolencearchive.org/incident/815159",NA,NA,0,0
"4091",1365,"12000 block of Homeland Lane","Tuscaloosa","2017-04-08","http://www.gunviolencearchive.org/incident/815161",NA,NA,1,1
"4092",1405,"1500 block of Pike Road","Birmingham","2017-04-08","http://www.gunviolencearchive.org/incident/815333",NA,NA,1,0
"4093",1407,"4100 block of Carmichael Road","Montgomery","2017-04-08","http://www.gunviolencearchive.org/incident/815346",NA,NA,1,0
"4094",1576,"4700 block of 13th Avenue North","Birmingham","2017-04-09","http://www.gunviolencearchive.org/incident/815281",NA,NA,1,0
"4095",1623,"1400 block of Shellfield Rd","Enterprise","2017-04-09","http://www.gunviolencearchive.org/incident/815356",NA,NA,0,1
"4096",1634,"900 Downtowner Blvd","Mobile","2017-04-09","http://www.gunviolencearchive.org/incident/815156",NA,NA,0,2
"4097",1667,"1198 Pleasant View Rd","Falkville","2017-04-10","http://www.gunviolencearchive.org/incident/817940",NA,NA,0,0
"4098",1687,"5528 Eastern Valley Rd","Mc Calla","2017-04-10","http://www.gunviolencearchive.org/incident/819328",NA,NA,1,0
"4099",1691,"3200 block of Dartmouth Ave","Bessemer","2017-04-10","http://www.gunviolencearchive.org/incident/816664",NA,NA,1,1
"4100",1756,"16000 block of Bud Odom Rd","Citronelle","2017-04-10","http://www.gunviolencearchive.org/incident/815684",NA,NA,1,0
"4101",1778,"5500 block of Eastern Valley Rd","Mc Calla","2017-04-10","http://www.gunviolencearchive.org/incident/817638",NA,NA,1,0
"4102",1863,"Butler Street","Mobile","2017-04-11","http://www.gunviolencearchive.org/incident/817855",NA,NA,1,0
"4103",1865,"1300 block of Lola Street","Mobile","2017-04-11","http://www.gunviolencearchive.org/incident/817858",NA,NA,0,0
"4104",1945,"County Road","Alexander City","2017-04-11","http://www.gunviolencearchive.org/incident/823042",NA,NA,1,0
"4105",1977,"400 block of Lee Rd 57","Auburn","2017-04-11","http://www.gunviolencearchive.org/incident/817849",NA,NA,0,0
"4106",2034,"","Eufaula","2017-04-12","http://www.gunviolencearchive.org/incident/817851",NA,NA,0,0
"4107",2065,"CR 36","Ozark","2017-04-12","http://www.gunviolencearchive.org/incident/818810",NA,NA,0,1
"4108",2104,"3300 block of Fountain Lane","Montgomery","2017-04-12","http://www.gunviolencearchive.org/incident/819324",NA,NA,0,1
"4109",2191,"","Mobile (Prichard)","2017-04-12","http://www.gunviolencearchive.org/incident/820194",NA,NA,0,0
"4110",2197,"2100 block of Minter Ave","Selma","2017-04-12","http://www.gunviolencearchive.org/incident/821857",NA,NA,1,0
"4111",2228,"31st Street and 35th Avenue","Tuscaloosa","2017-04-13","http://www.gunviolencearchive.org/incident/819330",NA,NA,1,0
"4112",2235,"7th Place Southwest and McMillon Avenue","Birmingham","2017-04-13","http://www.gunviolencearchive.org/incident/818551",NA,NA,0,0
"4113",2239,"281 Greenville Bypass","Greenville","2017-04-13","http://www.gunviolencearchive.org/incident/819417",NA,NA,0,0
"4114",2251,"312 Scott St","Brewton","2017-04-13","http://www.gunviolencearchive.org/incident/825460",NA,NA,1,0
"4115",2295,"Mildred Street","Ozark","2017-04-13","http://www.gunviolencearchive.org/incident/820118",NA,NA,1,0
"4116",2301,"1500 Mango Drive","Mobile","2017-04-13","http://www.gunviolencearchive.org/incident/820143",NA,NA,0,0
"4117",2327,"Airport Boulevard","Mobile","2017-04-13","http://www.gunviolencearchive.org/incident/819943",NA,NA,0,0
"4118",2347,"100 block of Atwilder Dr","Hazel Green","2017-04-13","http://www.gunviolencearchive.org/incident/822672",NA,NA,0,1
"4119",2444,"County Road 67 and County Road 145","Selma","2017-04-14","http://www.gunviolencearchive.org/incident/820771",NA,NA,0,1
"4120",2465,"5500 block of Middle Road","Mobile","2017-04-14","http://www.gunviolencearchive.org/incident/823045",NA,NA,0,0
"4121",2472,"300 block of South Ave","Selma","2017-04-14","http://www.gunviolencearchive.org/incident/820763",NA,NA,2,1
"4122",2494,"West Commerce Street","Greenville","2017-04-14","http://www.gunviolencearchive.org/incident/821366",NA,NA,0,1
"4123",2522,"Shirley Dr and E Common St S","Tuscumbia","2017-04-14","http://www.gunviolencearchive.org/incident/821364",NA,NA,0,0
"4124",2534,"Country Club Drive","York","2017-04-14","http://www.gunviolencearchive.org/incident/823187",NA,NA,1,0
"4125",2559,"3700 block of Audubon Road","Montgomery","2017-04-14","http://www.gunviolencearchive.org/incident/820137",NA,NA,0,1
"4126",2573,"200 Roosevelt Courtway Southwest","Birmingham","2017-04-14","http://www.gunviolencearchive.org/incident/820130",NA,NA,0,1
"4127",2622,"1400 block of Woodward Road","Birmingham (Midfield)","2017-04-15","http://www.gunviolencearchive.org/incident/821928",NA,NA,0,1
"4128",2628,"6800 block of Warrington Drive","Mobile","2017-04-15","http://www.gunviolencearchive.org/incident/823048",NA,NA,0,0
"4129",2663,"1480 Center Point Pkwy","Birmingham","2017-04-15","http://www.gunviolencearchive.org/incident/821400",NA,NA,6,0
"4130",2701,"","Fort Deposit","2017-04-15","http://www.gunviolencearchive.org/incident/824889",NA,NA,0,0
"4131",2703,"100 6th Ave N","Red Bay","2017-04-15","http://www.gunviolencearchive.org/incident/820710",NA,NA,0,0
"4132",2744,"200 block of 9th Ave N","Birmingham","2017-04-15","http://www.gunviolencearchive.org/incident/821472",NA,NA,1,0
"4133",2868,"600 block of Mill St","Montgomery","2017-04-16","http://www.gunviolencearchive.org/incident/823040",NA,NA,0,1
"4134",2927,"3299 Airport Blvd","Mobile","2017-04-16","http://www.gunviolencearchive.org/incident/823052",NA,NA,0,0
"4135",2928,"Sumner Drive","Mobile","2017-04-16","http://www.gunviolencearchive.org/incident/823053",NA,NA,0,0
"4136",2929,"1500 block of Flicker Drive","Mobile","2017-04-16","http://www.gunviolencearchive.org/incident/823054",NA,NA,0,0
"4137",2941,"3715 Bragg St NW","Huntsville","2017-04-16","http://www.gunviolencearchive.org/incident/821920",NA,NA,1,0
"4138",3015,"4000 block of Amesbury Drive","Montgomery","2017-04-16","http://www.gunviolencearchive.org/incident/822150",NA,NA,0,1
"4139",3017,"300 block of 4th Ct W","Birmingham","2017-04-16","http://www.gunviolencearchive.org/incident/821922",NA,NA,1,0
"4140",3097,"Jefferson Avenue","Birmingham","2017-04-17","http://www.gunviolencearchive.org/incident/822986",NA,NA,0,0
"4141",3120,"3030 Rainbow Dr","Rainbow City","2017-04-17","http://www.gunviolencearchive.org/incident/822365",NA,NA,0,1
"4142",3122,"3500 block of Hargrove Road","Tuscaloosa","2017-04-17","http://www.gunviolencearchive.org/incident/822147",NA,NA,1,1
"4143",3268,"2010 Andrews Street","Mobile","2017-04-18","http://www.gunviolencearchive.org/incident/824895",NA,NA,1,0
"4144",3479,"US 80","Tuskegee","2017-04-19","http://www.gunviolencearchive.org/incident/824465",NA,NA,1,0
"4145",3480,"100 block of Shelton Beach Rd","Saraland","2017-04-19","http://www.gunviolencearchive.org/incident/824467",NA,NA,1,0
"4146",3605,"700 block of Plato Jones Street","Athens","2017-04-20","http://www.gunviolencearchive.org/incident/826435",NA,NA,2,0
"4147",3679,"610 Valley Rd","Fairfield","2017-04-20","http://www.gunviolencearchive.org/incident/825422",NA,NA,0,0
"4148",3694,"Page Road","Blount (county)","2017-04-20","http://www.gunviolencearchive.org/incident/824890",NA,NA,1,0
"4149",3718,"Nick Davis Rd and Oakdale Rd","Athens","2017-04-20","http://www.gunviolencearchive.org/incident/826002",NA,NA,0,0
"4150",3726,"50th St. North on 1st Ave N.","Birmingham","2017-04-20","http://www.gunviolencearchive.org/incident/824893",NA,NA,0,0
"4151",3857,"","Eufaula","2017-04-21","http://www.gunviolencearchive.org/incident/827486",NA,NA,0,0
"4152",3869,"Baltimore Street","Mobile","2017-04-21","http://www.gunviolencearchive.org/incident/826833",NA,NA,1,0
"4153",3870,"7th Street West","Birmingham","2017-04-21","http://www.gunviolencearchive.org/incident/826838",NA,NA,1,0
"4154",3873,"4300 block of 3rd Ave S","Birmingham","2017-04-21","http://www.gunviolencearchive.org/incident/826182",NA,NA,2,0
"4155",3969,"5100 block of 5th Ct N","Birmingham","2017-04-22","http://www.gunviolencearchive.org/incident/826185",NA,NA,1,0
"4156",4042,"321 Woodward Road","Birmingham (Midfield)","2017-04-22","http://www.gunviolencearchive.org/incident/826859",NA,NA,0,2
"4157",4054,"2200 block of the East South Blvd","Montgomery","2017-04-22","http://www.gunviolencearchive.org/incident/826824",NA,NA,1,0
"4158",4059,"Madison Boulevard","Madison","2017-04-22","http://www.gunviolencearchive.org/incident/826835",NA,NA,1,0
"4159",4066,"Westview Drive and Goodwyn Drive","Montgomery","2017-04-22","http://www.gunviolencearchive.org/incident/826826",NA,NA,0,2
"4160",4280,"1000 Baltimore Street","Mobile","2017-04-23","http://www.gunviolencearchive.org/incident/828029",NA,NA,1,0
"4161",4374,"4700 block of Messer Airport Highway","Birmingham","2017-04-24","http://www.gunviolencearchive.org/incident/828031",NA,NA,1,0
"4162",4375,"900 block of 47th Place North","Birmingham","2017-04-24","http://www.gunviolencearchive.org/incident/828033",NA,NA,1,0
"4163",4387,"2nd Ave and Pinehill","Daphne","2017-04-24","http://www.gunviolencearchive.org/incident/828068",NA,NA,1,0
"4164",4453,"2224 Center Point Pkwy","Birmingham","2017-04-24","http://www.gunviolencearchive.org/incident/827598",NA,NA,1,0
"4165",4481,"Highpoint Rd","Albertville","2017-04-24","http://www.gunviolencearchive.org/incident/827968",NA,NA,1,0
"4166",4559,"1608 Polk Street","Mobile","2017-04-25","http://www.gunviolencearchive.org/incident/828900",NA,NA,2,0
"4167",4603,"2000 block of County Road 281","Five Points","2017-04-25","http://www.gunviolencearchive.org/incident/828862",NA,NA,0,0
"4168",4604,"Northview Drive","Mobile","2017-04-25","http://www.gunviolencearchive.org/incident/830413",NA,NA,0,0
"4169",4611,"4200 block of 6th Court North","Birmingham","2017-04-25","http://www.gunviolencearchive.org/incident/829787",NA,NA,1,0
"4170",4661,"Moorcroft Dr","Montgomery","2017-04-25","http://www.gunviolencearchive.org/incident/845004",NA,NA,1,0
"4171",4674,"25000 Block of Ponderosa Farm Dr","Robertsdale","2017-04-25","http://www.gunviolencearchive.org/incident/828966",NA,NA,0,1
"4172",4714,"400 block of Gray Street","Bessemer","2017-04-26","http://www.gunviolencearchive.org/incident/830406",NA,NA,2,0
"4173",4716,"1900 block of Bond Circle","Birmingham (Center Point)","2017-04-26","http://www.gunviolencearchive.org/incident/830409",NA,NA,1,0
"4174",4886,"Greenville Street and South Panama Street","Montgomery","2017-04-27","http://www.gunviolencearchive.org/incident/830411",NA,NA,1,0
"4175",4889,"N Street","Alexander City","2017-04-27","http://www.gunviolencearchive.org/incident/833038",NA,NA,0,0
"4176",4945,"1900 block of Martin Luther King Jr. Drive","Atmore","2017-04-27","http://www.gunviolencearchive.org/incident/831396",NA,NA,0,1
"4177",5012,"County Road 52 and Ross Drive","Helena","2017-04-27","http://www.gunviolencearchive.org/incident/830632",NA,NA,0,0
"4178",5048,"100 block of 5th Avenue SW","Birmingham","2017-04-28","http://www.gunviolencearchive.org/incident/832120",NA,NA,0,1
"4179",5062,"Dominick St","Mobile","2017-04-28","http://www.gunviolencearchive.org/incident/832209",NA,NA,1,0
"4180",5064,"Duval St","Mobile","2017-04-28","http://www.gunviolencearchive.org/incident/832211",NA,NA,1,0
"4181",5183,"Washington Blvd","Mobile","2017-04-28","http://www.gunviolencearchive.org/incident/832777",NA,NA,1,0
"4182",5239,"3100 block of Sheldon Lane","Montgomery","2017-04-29","http://www.gunviolencearchive.org/incident/832240",NA,NA,1,0
"4183",5246,"Bellingrath Rd and Will Casher Ln","Theodore","2017-04-29","http://www.gunviolencearchive.org/incident/834779",NA,NA,1,0
"4184",5263,"I Street","Alexander City","2017-04-29","http://www.gunviolencearchive.org/incident/833040",NA,NA,1,0
"4185",5301,"306 Courtney Dr SW","Decatur","2017-04-29","http://www.gunviolencearchive.org/incident/832123",NA,NA,2,0
"4186",5302,"Octavia Drive and Vermilion Drive","Mobile","2017-04-29","http://www.gunviolencearchive.org/incident/832127",NA,NA,0,1
"4187",5407,"4100 block of Oak Trail Way","Leeds","2017-04-30","http://www.gunviolencearchive.org/incident/833003",NA,NA,0,1
"4188",5451,"16th Avenue South","Phenix City","2017-04-30","http://www.gunviolencearchive.org/incident/833035",NA,NA,0,1
"4189",6,"3900 block of 30th Place","Tuscaloosa","2015-03-01","http://www.gunviolencearchive.org/incident/300067",33.1849,-87.5885,1,0
"4190",231,"3100 block of 12th Avenue North","Birmingham","2015-03-02","http://www.gunviolencearchive.org/incident/302601",33.5347,-86.7989,1,0
"4191",232,"9th Avenue West","Birmingham","2015-03-02","http://www.gunviolencearchive.org/incident/302603",33.5358,-86.8789,1,0
"4192",233,"Lodis Lane","Coosa County","2015-03-02","http://www.gunviolencearchive.org/incident/302608",32.8898,-86.2197,0,1
"4193",306,"Pearson Avenue","Birmingham","2015-03-03","http://www.gunviolencearchive.org/incident/302587",33.483,-86.8688,1,1
"4194",313,"16600 block of Zehner Road","Limestone County","2015-03-03","http://www.gunviolencearchive.org/incident/302605",34.7999,-87.0717,0,1
"4195",468,"Columbia Street","Birmingham","2015-03-04","http://www.gunviolencearchive.org/incident/302598",33.5434,-86.8777,0,1
"4196",471,"","Calera","2015-03-04","http://www.gunviolencearchive.org/incident/302616",33.1092,-86.7499,0,0
"4197",484,"6th Avenue and Edwards Street","Brighton","2015-03-04","http://www.gunviolencearchive.org/incident/302590",33.4406,-86.9512,0,1
"4198",520,"","Birmingham","2015-03-05","http://www.gunviolencearchive.org/incident/302582",33.5186,-86.8084,0,0
"4199",553,"Luckytown Road","Elmore","2015-03-05","http://www.gunviolencearchive.org/incident/302612",32.5397,-86.3092,0,1
"4200",574,"5900 Messer Airport Hwy","Birmingham","2015-03-05","http://www.gunviolencearchive.org/incident/302697",33.5606,-86.7484,0,0
"4201",742,"Morgan Road","Bessemer","2015-03-07","http://www.gunviolencearchive.org/incident/304809",33.3407,-86.9223,1,1
"4202",818,"1700 block of County Road 31","Plantersville","2015-03-07","http://www.gunviolencearchive.org/incident/302580",32.4456,-86.6535,0,1
"4203",920,"3000 block of Dale Avenue","Opelika","2015-03-08","http://www.gunviolencearchive.org/incident/303244",32.6365,-85.4287,0,0
"4204",1022,"1665 Honeysuckle Road","Dothan","2015-03-09","http://www.gunviolencearchive.org/incident/304802",31.205,-85.4351,0,0
"4205",1030,"4300 block of Mobile Highway","Montgomery","2015-03-09","http://www.gunviolencearchive.org/incident/304829",32.3078,-86.3498,1,0
"4206",1042,"5900 Messer Airport Highway","Birmingham","2015-03-09","http://www.gunviolencearchive.org/incident/307471",33.5606,-86.7484,0,0
"4207",1046,"100 block of Ridgewood Court","Decatur","2015-03-09","http://www.gunviolencearchive.org/incident/307138",34.6022,-86.9684,0,0
"4208",1143,"2900 Triana Boulevard","Huntsville","2015-03-10","http://www.gunviolencearchive.org/incident/307142",34.7103,-86.6094,1,0
"4209",1151,"3504 12th Ave E","Tuscaloosa","2015-03-10","http://www.gunviolencearchive.org/incident/307942",33.1771,-87.5219,0,0
"4210",1161,"600 block of Parkview Drive","Birmingham","2015-03-10","http://www.gunviolencearchive.org/incident/304819",33.6161,-86.7316,0,1
"4211",1162,"2700 block of Burrell Street","Birmingham","2015-03-10","http://www.gunviolencearchive.org/incident/304821",33.5151,-86.9125,0,1
"4212",1165,"700 block of Valley Street","Hoover","2015-03-10","http://www.gunviolencearchive.org/incident/304827",33.4156,-86.8512,0,1
"4213",1192,"2000 block of Nelson Drive","Decatur","2015-03-10","http://www.gunviolencearchive.org/incident/307136",34.5807,-86.9614,0,0
"4214",1211,"4699 Old Seale Hwy","Seale","2015-03-10","http://www.gunviolencearchive.org/incident/304573",32.3316,-85.1544,0,0
"4215",1233,"Martin Luther King Street","Camp Hill","2015-03-10","http://www.gunviolencearchive.org/incident/304796",32.78,-85.628,1,1
"4216",1254,"400 block of Holmes Avenue","Huntsville","2015-03-11","http://www.gunviolencearchive.org/incident/304806",34.7289,-86.6124,1,0
"4217",1261,"900 block of West South Boulevard","Montgomery","2015-03-11","http://www.gunviolencearchive.org/incident/304832",32.3265,-86.3239,0,1
"4218",1290,"1800 block of 33rd Avenue","Tuscaloosa","2015-03-11","http://www.gunviolencearchive.org/incident/307937",33.1841,-87.621,1,0
"4219",1350,"8600 block of Cliffs Landing Road","Baldwin County","2015-03-11","http://www.gunviolencearchive.org/incident/307346",30.8621,-87.8906,0,1
"4220",1529,"3000 block of Melody Road","Huntsville","2015-03-12","http://www.gunviolencearchive.org/incident/307841",34.7776,-86.5629,1,0
"4221",1541,"3125 Dauphin Island Pkwy","Mobile","2015-03-13","http://www.gunviolencearchive.org/incident/310408",30.6104,-88.0741,0,0
"4222",1602,"7th Street and Broad","Gadsden","2015-03-13","http://www.gunviolencearchive.org/incident/307989",34.0037,-85.9855,2,1
"4223",1610,"100 block of Houston Drive","Bessemer","2015-03-13","http://www.gunviolencearchive.org/incident/307957",33.4327,-86.9323,1,0
"4224",1650,"800 block of First Avenue","Selma","2015-03-13","http://www.gunviolencearchive.org/incident/307881",32.4221,-87.0283,1,0
"4225",1656,"Lee Road 64","Lee County","2015-03-13","http://www.gunviolencearchive.org/incident/306975",32.5724,-85.3339,0,1
"4226",1657,"1600 block of Beard Street","Huntsville","2015-03-13","http://www.gunviolencearchive.org/incident/307920",34.7407,-86.6103,1,0
"4227",1688,"500 block of Dallas Avenue","Selma","2015-03-14","http://www.gunviolencearchive.org/incident/307911",32.407,-87.0278,1,0
"4228",1692,"1400 block of Marie Foster Street","Selma","2015-03-14","http://www.gunviolencearchive.org/incident/307886",32.417,-87.0142,1,1
"4229",1701,"1000 block of McKinley Avenue","Huntsville","2015-03-14","http://www.gunviolencearchive.org/incident/307472",34.748,-86.574,0,0
"4230",1747,"3000 block of Venona Avenue","Huntsville","2015-03-14","http://www.gunviolencearchive.org/incident/307480",34.7699,-86.5956,1,0
"4231",1748,"100 block of Mason Court","Huntsville","2015-03-14","http://www.gunviolencearchive.org/incident/307482",34.7296,-86.6047,1,0
"4232",1765,"200 block of Springdale Road","Tarrant","2015-03-14","http://www.gunviolencearchive.org/incident/307979",33.6026,-86.7659,0,1
"4233",1827,"Mc Crary St NW","Huntsville","2015-03-15","http://www.gunviolencearchive.org/incident/307926",34.7398,-86.6051,1,0
"4234",1898,"Patton Road and Foster Avenue","Huntsville","2015-03-15","http://www.gunviolencearchive.org/incident/307853",34.6937,-86.6275,0,0
"4235",1938,"1941 Zacary Road","Cottonwood","2015-03-15","http://www.gunviolencearchive.org/incident/308861",31.0878,-85.325,1,3
"4236",2155,"3400 block of Dale Avenue","Opelika","2015-03-17","http://www.gunviolencearchive.org/incident/308892",32.6365,-85.4283,0,0
"4237",2156,"500 block of North Antioch Circle","Opelika","2015-03-17","http://www.gunviolencearchive.org/incident/308894",32.6329,-85.3795,1,0
"4238",2180,"2800 block of Union Drive","Huntsville","2015-03-17","http://www.gunviolencearchive.org/incident/310445",34.7314,-86.6067,1,0
"4239",2188,"","Montgomery","2015-03-17","http://www.gunviolencearchive.org/incident/310402",32.3737,-86.311,0,2
"4240",2189,"1089 Martin Luther King Dr.","Prattville","2015-03-17","http://www.gunviolencearchive.org/incident/310412",32.4864,-86.4689,0,0
"4241",2296,"200 block of East Cherry Street","Gadsden","2015-03-18","http://www.gunviolencearchive.org/incident/310386",34.0049,-85.9937,1,0
"4242",2298,"4400 block of Bonnell Drive","Huntsville","2015-03-18","http://www.gunviolencearchive.org/incident/310389",34.7446,-86.6389,1,0
